charger_id,station_name,address,city,state,latitude,longitude,x_projected,y_projected,level,plug_power_kw,plug_count,ev_network,connector_types,facility_type
l2_DC_0156,1101 16th Street,1101 16th Street NW,Washington,DC,38.903948,-77.036063,396871.6672,137344.1619,L2,7.2,2,Blink Network,J1772,
l2_DC_0157,ST. ELIZABETH P CHARGER-004,1100 Oak Dr SE,Washington,DC,38.84783,-76.99126,400758.4094,131114.0614,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0158,ST. ELIZABETH P CHARGER-006,1100 Oak Dr SE,Washington,DC,38.84784,-76.99127,400757.5412,131115.1714,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0159,ST. ELIZABETH P CHARGER-005,1100 Oak Dr SE,Washington,DC,38.84782,-76.99125,400759.2776,131112.9514,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0160,ST. ELIZABETH P CHARGER 001,1100 Oak Dr SE,Washington,DC,38.84786,-76.99129,400755.8049,131117.3914,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0161,UDR THE MO #8,440 Penn St NE,Washington,DC,38.910541,-76.996952,400264.0891,138075.422,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0162,Hines,700 13th St NW,Washington,DC,38.8988961,-77.0298326,397411.9006,136783.1657,L2,7.2,4,AMPUP,J1772,OFFICE_BLDG
l2_DC_0163,UDR THE MO #2,440 Penn St NE,Washington,DC,38.910565,-76.996901,400268.5123,138078.0863,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0164,Verge,"1800 Half Street SW Washington, DC 20024",Washington,DC,38.8680254,-77.0101875,399115.6241,133355.9099,L2,7.2,4,Blink Network,J1772,
dcfc_DC_0006,"Jamestown Georgetown Park Garage (Washington, DC)",3222 M St NW,Washington,DC,38.905,-77.0632,394517.9156,137462.2233,DCFC,150,6,Electrify America,J1772COMBO,
l2_DC_0165,PORTRAIT BLDG EXPRESS250,701 8th St NW,Washington,DC,38.898909,-77.022677,398032.6135,136784.4188,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0166,TOWER COMPANIES 1828 L ST #3,1828 L St NW,Washington,DC,38.903546,-77.042768,396290.0621,137299.7881,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0167,TOWER COMPANIES 1828 L ST #2,1828 L St NW,Washington,DC,38.90352,-77.04278,396289.0198,137296.9024,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0168,The Atlantic Building Garage,545 10th St. NW.,Washington,DC,38.89703541952763,-77.02581167221071,397760.6372,136576.5091,L2,7.2,8,FLASH,J1772,PUBLIC
l2_DC_0169,Uline Arena Garage,1199 Congress St. NE.,Washington,DC,38.904518792311336,-77.00275003910066,399761.1981,137406.9084,L2,7.2,6,FLASH,J1772,PUBLIC
l2_DC_0170,531709 - 77 K Street NE,77 K St NE,Washington,DC,38.9020512,-77.0063357,399450.1646,137133.0017,L2,7.2,6,Blink Network,J1772,
l2_DC_0171,2100 Penn,2100 Pennsylvania Avenue Northwest,Washington,DC,38.9011081,-77.0470223,395920.9069,137029.3437,L2,7.2,5,Blink Network,J1772,
l2_DC_0172,431702  Avalon at Foxhall,4100 Massachusetts Avenue Northwest,Washington,DC,38.93357433,-77.08182946,392904.8886,140635.4927,L2,7.2,4,Blink Network,J1772,
l2_DC_0173,431701  Avalon at Gallery Place,770 5th Street Northwest,Washington,DC,38.8988895,-77.0191846,398335.5613,136782.1845,L2,7.2,3,Blink Network,J1772,
l2_DC_0174,Amaris Condo,601 Wharf St SW,Washington,DC,38.8765843,-77.0213025,398151.2606,134306.1778,L2,7.2,1,Blink Network,J1772,
l2_DC_0175,431701  Avalon at Gallery Place (Shared),770 5th Street Northwest,Washington,DC,38.89898,-77.01925,398329.8903,136792.2319,L2,7.2,1,Blink Network,J1772,
l2_DC_0176,"Masaveu 900 G Washington, LLC",900 G Street Northwest,Washington,DC,38.8981064,-77.024354,397887.1182,136695.3615,L2,7.2,2,Blink Network,J1772,
l2_DC_0177,The Warner Building,1299 Pennsylvania Ave NW,Washington,DC,38.8962672,-77.0281661,397556.3705,136491.2912,L2,7.2,8,Blink Network,J1772,
l2_DC_0178,Modern on M,465 M St SW,Washington,DC,38.8765953,-77.0186526,398381.1982,134307.3484,L2,7.2,4,Blink Network,J1772,
l2_DC_0179,Modern on M - K Street,480 K Street Southwest,Washington,DC,38.8781081,-77.0193426,398321.3615,134475.2929,L2,7.2,4,Blink Network,J1772,
l2_DC_0180,Amaris,601 Wharf St SW,Washington,DC,38.8767298,-77.0214478,398138.6565,134322.3323,L2,7.2,1,Blink Network,J1772,
l2_DC_0181,58302,1201 M Street SE,Washington,DC,38.875849,-76.989356,400923.3359,134224.3883,L2,7.2,2,Blink Network,J1772,
l2_DC_0182,1101 New York Avenue,1101 New York Avenue Northwest,Washington,DC,38.90189040977428,-77.02759156047885,397606.4008,137115.4964,L2,7.2,4,Blink Network,J1772,
l2_DC_0183,Brookland Parking Garage,818 Michigan Avenue,Washington,DC,38.935515,-76.99484,400447.1154,140847.7527,L2,7.2,8,Blink Network,J1772,
l2_DC_0184,505 9th Street NW,505 9th Street Northwest,Washington,DC,38.89683,-77.023006,398004.0158,136553.6407,L2,7.2,4,Blink Network,J1772,
l2_DC_0185,40P SONYA 2,40 Patterson St NE,Washington,DC,38.906589,-77.007774,399325.4489,137636.7434,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0186,40P SONYA 1,40 Patterson St NE,Washington,DC,38.90653,-77.007445,399353.9844,137630.1915,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0187,ST REGIS VALET ST REGIS VALET,923 Black Lives Matter Plz NW,Washington,DC,38.90213,-77.036152,396863.8671,137142.3525,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0188,SEIU Building,1800 Massachusetts Avenue Northwest,Washington,DC,38.90958225929426,-77.0422538,396334.9749,137969.8404,L2,7.2,2,Blink Network,J1772,
l2_DC_0189,1200 First St NE,1200 First St NE,Washington,DC,38.90608235,-77.00629931,399453.3531,137580.4913,L2,7.2,2,Non-Networked,J1772 NEMA515,PARKING_GARAGE
l2_DC_0190,1001 Pennsylvania,1001 Pennsylvania Avenue Northwest,Washington,DC,38.895414,-77.0260068,397743.6587,136396.5237,L2,7.2,2,Blink Network,J1772,
l2_DC_0191,BRE 1025CT-A,1025 Connecticut Ave NW,Washington,DC,38.903394,-77.039271,396593.3823,137282.7785,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0192,BRE 1025CT-B,1025 Connecticut Ave NW,Washington,DC,38.903379,-77.039264,396593.9888,137281.1131,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0193,BRE 1730RI-A,1730 Rhode Island Ave NW,Washington,DC,38.906065,-77.039281,396592.6431,137579.2811,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0194,BRE 1730RI-B,1730 Rhode Island Ave NW,Washington,DC,38.906059,-77.039297,396591.255,137578.6156,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0195,BRE 1120CT-A,1120 Connecticut Ave NW,Washington,DC,38.904381,-77.040625,396475.9859,137392.3948,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0196,BRE 1120CT-B,1120 Connecticut Ave NW,Washington,DC,38.904392,-77.040632,396475.3793,137393.6161,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0197,555 12ST ST NW 1,555 12th St NW,Washington,DC,38.9,-77.03,397397.42,136905.712,L2,7.2,6,AMPUP,J1772,
l2_DC_0198,555 12st St NW,555 12th St NW,Washington,DC,38.9,-77.03,397397.42,136905.712,L2,7.2,7,AMPUP,J1772,
l2_DC_0199,International Square,1850 K St NW,Washington,DC,38.90231,-77.04307,396263.8018,137162.5947,L2,7.2,2,AMPUP,J1772,MULTI_UNIT_DWELLING
l2_DC_0200,Alley Entrance - 641 S. St. NW. Garage,641 S. St. NW.,Washington,DC,38.9146314,-77.021299,398152.5593,138529.7024,L2,7.2,2,FLASH,J1772,PUBLIC
l2_DC_0201,1630 Connecticut Ave. NW. Garage,2007 Hillyer Pl. NW.,Washington,DC,38.9119405875304,-77.04544819356848,396058.0494,138231.7671,L2,7.2,2,FLASH,J1772,WORKPLACE
l2_DC_0202,UNION MARKET GUM 1,1325 5th St NE,Washington,DC,38.909,-76.996993,400260.5383,137904.3584,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0203,UNION MARKET GUM 2,1325 5th St NE,Washington,DC,38.909039,-76.997152,400246.7476,137908.6873,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0204,UNION MARKET GUM 3,1325 5th St NE,Washington,DC,38.909042,-76.997173,400244.9262,137909.0203,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0205,BRE 1150CT-A,1150 Connecticut Ave NW,Washington,DC,38.90542,-77.041331,396414.8011,137507.7595,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0206,BRE 1150CT-B,1150 Connecticut Ave NW,Washington,DC,38.905448,-77.041356,396412.6341,137510.8688,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0207,1155 F St. NW. Garage,611 12th St. NW.,Washington,DC,38.89773620652311,-77.02795207500459,397574.9871,136654.3567,L2,7.2,4,FLASH,J1772,PUBLIC
l2_DC_0208,2099 Penn,2099 Pennsylvania Avenue Northwest,Washington,DC,38.90189611387721,-77.04626054232916,395987.028,137116.7856,L2,7.2,2,Blink Network,J1772,
l2_DC_0209,UNION MARKET GUM 4,1331 5th St NE,Washington,DC,38.909403,-76.997083,400252.731,137949.0944,L2,7.2,2,ChargePoint Network,J1772,
l2_DC_0210,Target Garage,66 16th St. NE.,Washington,DC,38.91629562897845,-76.98134064674379,401617.9473,138714.3906,L2,7.2,3,FLASH,J1772,PUBLIC
l2_DC_0211,Conrad Washington DC - P1,950 New York Avenue Northwest,Washington,DC,38.901306,-77.0255817,397780.7205,137050.5714,L2,7.2,2,Blink Network,J1772,
l2_DC_0212,Transwestern,1800 K Street Northwest,Washington,DC,38.90221681434085,-77.04216545767082,396342.2578,137152.2137,L2,7.2,4,Blink Network,J1772,
l2_DC_0213,4221 Connecticut Ave. NW. Garage,4221 Connecticut Ave. NW.,Washington,DC,38.943663831782835,-77.06295678006428,394541.9785,141754.2161,L2,7.2,1,FLASH,J1772,PUBLIC
l2_DC_0214,The Catholic University of America - DC,620 Michigan Avenue Northeast,Washington,DC,38.93844142120665,-76.99989637487347,400008.7254,141172.599,L2,7.2,2,Blink Network,J1772,
l2_DC_0215,The Westerly,350 Maple Drive SW,Washington,DC,38.8786310520035,-77.01667917473098,398552.4783,134533.2987,L2,7.2,8,Blink Network,J1772,
l2_DC_0216,Transwestern.Mid-Atlantic,2001 L Street Northwest,Washington,DC,38.904320341224164,-77.04523469109287,396076.1456,137385.8494,L2,7.2,2,Blink Network,J1772,
l2_DC_0217,RG-1101K,1101 K Street Northwest,Washington,DC,38.90303893228467,-77.02774883240062,397592.7978,137242.9957,L2,7.2,4,Blink Network,J1772,
